Timestamp,Library,Query,PID,Process_Memory_MB,Children_Memory_MB,Total_Memory_MB
2025-12-19 01:23:36.049489,polars,1,343405,5.06,0.00,5.06
2025-12-19 01:23:36.556002,polars,1,343405,330.84,0.00,330.84
2025-12-19 01:23:37.063610,polars,1,343405,517.40,0.00,517.40
2025-12-19 01:23:37.563738,polars,1,343405,Monitoring Ended,-,-
2025-12-19 01:23:37.582934,polars,2,343574,1.95,0.00,1.95
2025-12-19 01:23:38.083085,polars,2,343574,Monitoring Ended,-,-
2025-12-19 01:23:38.300071,polars,3,343607,3.75,0.00,3.75
2025-12-19 01:23:38.808478,polars,3,343607,234.20,0.00,234.20
2025-12-19 01:23:39.309091,polars,3,343607,Monitoring Ended,-,-
2025-12-19 01:23:39.327561,polars,4,343618,2.92,0.00,2.92
2025-12-19 01:23:39.879259,polars,4,343618,161.05,0.00,161.05
2025-12-19 01:23:40.379400,polars,4,343618,Monitoring Ended,-,-
2025-12-19 01:23:40.397442,polars,5,343653,3.75,0.00,3.75
2025-12-19 01:23:40.906687,polars,5,343653,304.05,0.00,304.05
2025-12-19 01:23:41.406931,polars,5,343653,Monitoring Ended,-,-
2025-12-19 01:23:41.425421,polars,6,343684,3.82,0.00,3.82
2025-12-19 01:23:41.925529,polars,6,343684,Monitoring Ended,-,-
2025-12-19 01:23:42.143522,polars,7,343688,3.10,0.00,3.10
2025-12-19 01:23:42.651057,polars,7,343688,218.09,0.00,218.09
2025-12-19 01:23:43.151206,polars,7,343688,Monitoring Ended,-,-
2025-12-19 01:23:43.472785,polars,8,343811,0.02,0.00,0.02
2025-12-19 01:23:43.980747,polars,8,343811,333.08,0.00,333.08
2025-12-19 01:23:44.480891,polars,8,343811,Monitoring Ended,-,-
2025-12-19 01:23:44.793478,polars,9,343831,3.75,0.00,3.75
2025-12-19 01:23:45.300989,polars,9,343831,321.87,0.00,321.87
2025-12-19 01:23:45.809451,polars,9,343831,250.43,0.00,250.43
2025-12-19 01:23:46.310346,polars,9,343831,Monitoring Ended,-,-
2025-12-19 01:23:46.334697,polars,10,343852,3.81,0.00,3.81
2025-12-19 01:23:46.846415,polars,10,343852,161.55,0.00,161.55
2025-12-19 01:23:47.346546,polars,10,343852,Monitoring Ended,-,-
2025-12-19 01:23:47.656924,polars,11,343998,0.66,0.00,0.66
2025-12-19 01:23:48.157062,polars,11,343998,Monitoring Ended,-,-
2025-12-19 01:23:48.361511,polars,12,344025,4.15,0.00,4.15
2025-12-19 01:23:48.871675,polars,12,344025,164.97,0.00,164.97
2025-12-19 01:23:49.371904,polars,12,344025,Monitoring Ended,-,-
2025-12-19 01:23:49.390453,polars,13,344036,4.36,0.00,4.36
2025-12-19 01:23:49.901727,polars,13,344036,313.33,0.00,313.33
2025-12-19 01:23:50.406332,polars,13,344036,Monitoring Ended,-,-
2025-12-19 01:23:50.437491,polars,14,344075,4.09,0.00,4.09
2025-12-19 01:23:50.950485,polars,14,344075,134.95,0.00,134.95
2025-12-19 01:23:51.450615,polars,14,344075,Monitoring Ended,-,-
2025-12-19 01:23:51.469683,polars,15,344102,3.19,0.00,3.19
2025-12-19 01:23:51.979864,polars,15,344102,143.55,0.00,143.55
2025-12-19 01:23:52.491707,polars,15,344102,180.33,0.00,180.33
2025-12-19 01:23:52.991875,polars,15,344102,Monitoring Ended,-,-
2025-12-19 01:23:53.012320,polars,16,344224,4.30,0.00,4.30
2025-12-19 01:23:53.545304,polars,16,344224,93.21,0.00,93.21
2025-12-19 01:23:54.047427,polars,16,344224,Monitoring Ended,-,-
2025-12-19 01:23:54.071291,polars,17,344250,2.50,0.00,2.50
