solution,version,query_number,duration[s],io_type,scale_factor,pid
pyspark,3.5.1,1,5.038765310000599,parquet,1.0,662481
pyspark,3.5.1,2,5.300969677002286,parquet,1.0,663139
pyspark,3.5.1,3,6.686498590002884,parquet,1.0,663890
pyspark,3.5.1,4,6.54256742799771,parquet,1.0,664720
pyspark,3.5.1,5,8.368018623001262,parquet,1.0,665470
pyspark,3.5.1,6,2.8939008160014055,parquet,1.0,666510
pyspark,3.5.1,7,7.272432723999373,parquet,1.0,667168
pyspark,3.5.1,8,8.860723140001937,parquet,1.0,668111
pyspark,3.5.1,9,8.747538472998713,parquet,1.0,669216
pyspark,3.5.1,10,10.907098826999572,parquet,1.0,670196
pyspark,3.5.1,11,4.867617154999607,parquet,1.0,671228
pyspark,3.5.1,12,6.082029353001417,parquet,1.0,672066
pyspark,3.5.1,13,5.806637691002834,parquet,1.0,672787
pyspark,3.5.1,14,3.5720901119966584,parquet,1.0,673663
pyspark,3.5.1,15,5.397185984002135,parquet,1.0,674312
pyspark,3.5.1,16,5.323194130000047,parquet,1.0,675018
pyspark,3.5.1,17,6.079479029001959,parquet,1.0,675842
pyspark,3.5.1,18,13.085601064001821,parquet,1.0,676554
pyspark,3.5.1,19,3.8096138690016232,parquet,1.0,677667
pyspark,3.5.1,20,5.5023620479987585,parquet,1.0,678383
pyspark,3.5.1,21,13.438774528000067,parquet,1.0,679271
pyspark,3.5.1,22,8.33850370500295,parquet,1.0,680449
